,Agency,Avg Days Till Completion
517,Clifton Police Department,030 days 06:44:22
518,Clifton Springs Village Police Department,06 days 21:48:47
519,Climax Police Department,020 days 08:20:52
520,Clinton County Sheriff,021 days 13:55:49
521,Clinton County Sheriff's Office,207 days 07:46:58
522,Cloverdale Police Department,010 days 02:30:04
523,Clovis Police Department,233 days 05:57:53
524,Clyde Village Police Department,127 days 12:10:37
525,Coachella Police Department,04 days 00:02:34
526,Coahoma County Sheriff's Department,030 days 08:32:20
527,Cobb County Police Department,031 days 20:50:15
528,Cobb County Sheriff,05 days 07:20:56
529,Cobleskill Village Police Department,033 days 07:33:41
530,Cochise County Sheriff's Office,072 days 18:46:35
531,Cockrell Hill Police Department,077 days 22:56:08
532,Cocoa Police Department,071 days 19:00:00
533,Coffee County Sheriff,014 days 20:58:48
534,Cohocton Police Department,05 days 02:11:42
535,Colchester Police Department,02 days 13:19:46
536,Colchester Town Police Department,075 days 10:01:08
537,Coles County Sheriff's Office,031 days 07:46:58
538,College Park Police Department,012 days 02:00:00
539,College Station Police Department,061 days 22:14:17
540,Collegedale Police Department,032 days 20:00:00
541,Collier County Sheriff's Office,038 days 06:32:27
542,Collierville Police Department,216 days 08:27:24
543,Collin County Sheriff's Office,019 days 20:00:00
544,Colonie Police Department,026 days 20:35:51
545,Colorado Department of Public Safety,037 days 10:06:53
546,Colorado Division Homeland Security And Emergency Management Department Of Public Safety,021 days 01:02:46
547,Colorado Springs Police Department,049 days 20:28:11
548,Columbia County Sheriff,04 days 05:46:25
549,Columbia County Sheriff's Office,013 days 10:34:40
550,Columbia Falls Police Department,046 days 19:00:00
551,Columbia Police Department,107 days 07:20:55
552,Columbus Division of Police,022 days 22:03:48
553,Columbus Police Department,305 days 16:53:06
554,Colusa County Sheriff's Office,06 days 18:15:38
555,Concord Police Department,033 days 05:20:27
556,Concordia Parish Sheriff's Office,00 days 20:00:00
557,Conneaut Police Department,026 days 20:00:00
558,Connecticut State Police,239 days 05:46:00
559,Conroe Police Department,028 days 09:17:33
560,Contra Costa County Sheriff,06 days 12:11:11
561,Converse County Sheriff's Office,080 days 11:31:11
562,Conway County Sheriff's Office,091 days 20:18:47
563,Conway Police Department,06 days 20:00:00
