,Agency,Avg Days Till Completion
494,Claremont Police Department,7 days 16:39:52.458713200
495,Clark County Sheriff,218 days 17:23:34.883507
496,Clark County Sheriff's Department,113 days 13:39:19.507781666
497,Clark County Sheriff's Office,50 days 06:16:50.029066750
498,Clarkstown Police Department (NY),166 days 15:52:32.157262
499,Clarksville Police Department,20 days 18:36:55.523030333
500,Clatskanie Police Department,71 days 05:25:56.433002
501,Clay County Sheriff,0 days 23:45:02.282141
502,Clay County Sheriff's Office,28 days 08:17:57.798457750
503,Clayton County Police Department,329 days 22:39:22.894893744
504,Clayton County Sheriff,42 days 07:41:05.145858
505,Clayton County Sheriffs Office,88 days 17:56:50.017516
506,Clayton Police Department,3 days 11:17:46.003147500
507,Clayton Police Department (MO),21 days 20:05:11.232368
508,Clayton Village Police Department,7 days 09:29:38.267460
509,Clear Creek County Sheriff,10 days 21:50:59.839169333
510,Clearwater County Sheriff's Office,9 days 08:06:50.194767
511,Clearwater Police Department,95 days 01:03:35.725204110
512,Cleburne Police Department,39 days 18:06:34.182373
513,Cleveland County Sheriff,108 days 23:14:15.113226
514,Cleveland County Sheriff's Office,3 days 10:14:21.860141
515,Cleveland Heights Police Department,45 days 21:10:17.668014500
516,Cleveland Police Department,207 days 23:41:24.726658660
517,Clifton Police Department,30 days 06:44:21.734355500
518,Clifton Springs Village Police Department,6 days 21:48:47.125305
519,Climax Police Department,20 days 08:20:51.530913
520,Clinton County Sheriff,21 days 13:55:48.680672666
521,Clinton County Sheriff's Office,207 days 07:46:57.698253
522,Cloverdale Police Department,10 days 02:30:03.786280
523,Clovis Police Department,233 days 05:57:53.149679836
524,Clyde Village Police Department,127 days 12:10:37.438661
525,Coachella Police Department,4 days 00:02:34.324172
526,Coahoma County Sheriff's Department,30 days 08:32:19.555462
527,Cobb County Police Department,31 days 20:50:14.614931200
